GEO_ID,DATA_VALUE
1000000US060377012012013,59
1000000US060377012012014,53
1000000US060377012012015,48
1000000US060377012012016,49
1000000US060377016021000,0
1000000US060377012012017,18
1000000US060377016021001,57
1000000US060377012012018,27
1000000US060377016021002,88
1000000US060377012012019,23
1000000US060377016021003,0
1000000US060377016021004,0
1000000US060377016021005,111
1000000US060377016021006,107
1000000US060377016021007,87
1000000US060377016021008,94
1000000US060377016021009,115
1000000US060377012012020,26
1000000US060377012012021,39
1000000US060377012012022,19
1000000US060377017012000,0
1000000US060377016021010,154
1000000US060377017012001,94
1000000US060377016021011,115
1000000US060377017012002,86
1000000US060377016021012,69
1000000US060377017012003,83
1000000US060377016021013,63
1000000US060377017012004,65
1000000US060377016021014,81
1000000US060377017012005,0
1000000US060377016021015,93
1000000US060377017012006,67
1000000US060377016021016,152
1000000US060377017012007,70
1000000US060377016021017,7
1000000US060377017012008,39
1000000US060377016021018,0
1000000US060377017012009,63
1000000US060377016021019,11
1000000US060377017012010,109
1000000US060377016021020,50
1000000US060377017012011,88
1000000US060377016021021,51
1000000US060377017012012,111
1000000US060377017012013,110
1000000US060377017012014,107
1000000US060377017012015,40
1000000US060377017012016,0
1000000US060377017012017,0
1000000US060377017012018,0
1000000US060377017012019,60
1000000US060377022011000,0
1000000US060377022011001,7
1000000US060377022011002,168
1000000US060377022011003,54
1000000US060377017012020,59
1000000US060377022011004,12
1000000US060377017012021,0
1000000US060377022011005,52
1000000US060377022011006,127
1000000US060377022011007,55
1000000US060377022011008,41
1000000US060377022011009,13
1000000US060377023002000,0
1000000US060377022011010,152
1000000US060377023002001,0
1000000US060377022011011,106
1000000US060377023002002,0
1000000US060377022011012,53
1000000US060377023002003,3
1000000US060377022011013,15
1000000US060377023002004,0
1000000US060377022011014,165
1000000US060377018015000,542
1000000US060377023002005,0
1000000US060377022011015,0
1000000US060377018015001,0
1000000US060377022011016,0
1000000US060377018015002,1
1000000US060377016011000,35
1000000US060377023002007,0
1000000US060377022011017,0
1000000US060377018015003,184
1000000US060377016011001,104
1000000US060377023002008,0
1000000US060377022011018,0
1000000US060377018015004,0
1000000US060377016011002,136
1000000US060377023002009,187
1000000US060377022011019,44
1000000US060377018015005,1
1000000US060377016011003,65
1000000US060377018015006,0
1000000US060377016011004,56
1000000US060377018015007,0
1000000US060377016011005,66
1000000US060377018015008,0
1000000US060377016011006,57
1000000US060377018015009,0
1000000US060377016011007,73
1000000US060377016011008,53
1000000US060377023002010,164
1000000US060377022011020,22
1000000US060377012014000,57
1000000US060377023002011,190
1000000US060377022023000,32
1000000US060377022011021,53
1000000US060377012014001,69
1000000US060377023002012,67
1000000US060377022023001,28
1000000US060377022011022,29
1000000US060377012014002,58
1000000US060377023002013,55
1000000US060377022023002,23
1000000US060377012014003,63
1000000US060377023002014,56
1000000US060377022023003,25
1000000US060377018015010,0
1000000US060377012014004,68
1000000US060377023002015,49
1000000US060377022023004,15
1000000US060377018015011,0
1000000US060377012014005,27
1000000US060377023002016,53
1000000US060377022023005,51
1000000US060377018015012,0
1000000US060377012014006,59
1000000US060377023002017,50
1000000US060377022023006,18
1000000US060377018015013,0
1000000US060377012014007,56
1000000US060377023002018,0
1000000US060377022023007,63
1000000US060377018015014,0
1000000US060377012014008,58
1000000US060377023002019,0
1000000US060377022023008,61
1000000US060377018015015,0
1000000US060377012014009,68
1000000US060377022023009,90
1000000US060377018015016,27
1000000US060377018015017,0
1000000US060377018015018,64
1000000US060377018015019,39
1000000US060377023002020,0
1000000US060377012014010,65
1000000US060377023002021,24
1000000US060377022023010,58
1000000US060377012014011,73
1000000US060377023002022,20
1000000US060377022023011,57
1000000US060377012014012,65
1000000US060377023002023,1
1000000US060377022023012,81
1000000US060377012014013,66
1000000US060377023002024,26
1000000US060377022023013,20
1000000US060377018015020,129
1000000US060377012014014,50
1000000US060377023002025,31
1000000US060377022023014,13
1000000US060377018015021,0
1000000US060377012014015,69
1000000US060377023002026,24
1000000US060377022023015,17
1000000US060377018015022,120
1000000US060377012014016,42
1000000US060377023002027,31
1000000US060377022023016,33
1000000US060377018015023,177
1000000US060377016023000,0
1000000US060377012014017,46
1000000US060377023002028,18
1000000US060377018015024,574
1000000US060377016023001,62
1000000US060377023002029,30
1000000US060377018015025,64
1000000US060377016023002,58
1000000US060377018015026,69
1000000US060377016023003,0
1000000US060377018015027,0
1000000US060377016023004,0
1000000US060377018015028,45
1000000US060377016023005,64
1000000US060377018015029,98
1000000US060377016023006,0
1000000US060377016023007,76
1000000US060377016023008,81
1000000US060377016023009,57
1000000US060377023002030,23
1000000US060377023002031,0
1000000US060377023002032,0
1000000US060377023002033,1
1000000US060377023002034,37
1000000US060377018015030,0
1000000US060377018015031,0
1000000US060377018015032,0
1000000US060377016023010,0
1000000US060377016023011,20
1000000US060377016023012,0
1000000US060377016023013,51
1000000US060377016023014,116
1000000US060377016023015,133
1000000US060377016023016,111
1000000US060377016023017,0
1000000US060377016023018,0
1000000US060377016023019,0
1000000US060377021022000,8
1000000US060377021022001,49
1000000US060377021022002,46
1000000US060377021022003,37
1000000US060377016023020,0
1000000US060377021022004,5
1000000US060377021022005,9
1000000US060377021022006,29
1000000US060377021022007,35
1000000US060377021022008,33
1000000US060377021022009,39
1000000US060377022013000,31
1000000US060377021022010,40
1000000US060377022013001,209
1000000US060377021022011,23
1000000US060377022013002,28
1000000US060377021022012,42
1000000US060377022013003,32
1000000US060377021022013,127
1000000US060377022013004,66
1000000US060377021022014,12
1000000US060377022013005,121
1000000US060377021022015,20
1000000US060377022013006,57
1000000US060377021022016,48
1000000US060377015022000,0
1000000US060377022013007,36
1000000US060377021022017,34
1000000US060377015022001,28
1000000US060377022013008,30
1000000US060377015022002,118
1000000US060377022013009,26
1000000US060377015022003,115
1000000US060377015022004,75
1000000US060377015022005,129
1000000US060377015022006,123
1000000US060377015022007,60
1000000US060377015022008,94
1000000US060377015022009,89
1000000US060377023004000,291
1000000US060377022013010,35
1000000US060377023004001,152
1000000US060377022013011,72
1000000US060377023004002,48
1000000US060377022013012,111
1000000US060377023004003,0
1000000US060377022013013,54
1000000US060377023004004,13
1000000US060377022013014,35
1000000US060377023004005,44
1000000US060377022013015,30
1000000US060377023004006,44
1000000US060377022013016,62
1000000US060377016013000,14
1000000US060377015022010,108
1000000US060377023004007,45
1000000US060377016013001,20
1000000US060377015022011,131
1000000US060377023004008,0
1000000US060377016013002,22
1000000US060377015022012,219
1000000US060377023004009,0
1000000US060377016013003,16
1000000US060377015022013,30
1000000US060377016013004,23
1000000US060377015022014,44
1000000US060377016013005,39
1000000US060377016013006,50
1000000US060377016013007,0
1000000US060377016013008,27
1000000US060377016013009,21
1000000US060377023004010,15
1000000US060377023004011,36
1000000US060377022025000,59
1000000US060377023004012,83
1000000US060377022025001,30
1000000US060377023004013,0
1000000US060377022025002,31
1000000US060377020021000,1
1000000US060377023004014,17
1000000US060377022025003,26
1000000US060377020021001,53
1000000US060377023004015,24
1000000US060377022025004,38
1000000US060377020021002,203
1000000US060377023004016,57
1000000US060377022025005,61
1000000US060377020021003,1
1000000US060377016013010,17
1000000US060377023004017,37
1000000US060377022025006,47
1000000US060377020021004,0
1000000US060377016013011,0
1000000US060377023004018,0
1000000US060377022025007,46
1000000US060377020021005,0
1000000US060377016013012,18
1000000US060377023004019,0
1000000US060377022025008,27
1000000US060377020021006,131
1000000US060377016013013,45
1000000US060377022025009,33
1000000US060377020021007,0
1000000US060377016013014,18
1000000US060377020021008,5
1000000US060377016013015,15
1000000US060377020021009,106
1000000US060377016013016,19
1000000US060377016013017,18
1000000US060377016013018,16
1000000US060377016013019,18
1000000US060377023004020,54
1000000US060377023004021,57
1000000US060377022025010,150
1000000US060377023004022,37
1000000US060377022025011,17
1000000US060377023004023,5
1000000US060377022025012,130
1000000US060377020021010,170
1000000US060377023004024,8
1000000US060377020021011,1
1000000US060377023004025,15
1000000US060377020021012,140
1000000US060377023004026,63
1000000US060377020021013,0
1000000US060377016013020,14
1000000US060377023004027,40
1000000US060377020021014,0
1000000US060377016013021,55
1000000US060377023004028,10
1000000US060377020021015,0
1000000US060377016013022,57
1000000US060377023004029,59
1000000US060377020021016,3
1000000US060377016013023,67
1000000US060377014021000,203
1000000US060377020021017,0
1000000US060377016013024,18
1000000US060377014021001,92
1000000US060377016013025,65
1000000US060377014021002,5
1000000US060377020021019,0
1000000US060377016013026,0
1000000US060377014021003,97
1000000US060377016013027,1
1000000US060377014021004,0
1000000US060377014021005,0
1000000US060377014021006,0
1000000US060377014021007,0
1000000US060377014021008,0
1000000US060377014021009,235
1000000US060377023004030,19
1000000US060377020021020,0
1000000US060377020021021,96
1000000US060377020021022,71
1000000US060377020021023,238
1000000US060377020021024,50
1000000US060377020021025,41
1000000US060377020021026,71
1000000US060377015012000,0
1000000US060377014021010,173
1000000US060377020021027,81
1000000US060377015012001,126
1000000US060377014021011,237
1000000US060377013042000,19
1000000US060377020021028,72
1000000US060377015012002,124
1000000US060377014021012,20
1000000US060377013042001,467
1000000US060377020021029,0
1000000US060377015012003,122
1000000US060377013042002,5
1000000US060377015012004,146
1000000US060377013042003,313
1000000US060377015012005,169
1000000US060377013042004,44
1000000US060377015012006,112
1000000US060377013042005,57
1000000US060377015012007,124
1000000US060377013042006,51
1000000US060377015012008,98
1000000US060377013042007,78
1000000US060377015012009,96
1000000US060377013042008,41
1000000US060377013042009,64
1000000US060377021024000,10
1000000US060377021024001,69
1000000US060377021024002,39
1000000US060377021024003,0
1000000US060377021024004,209
1000000US060377021024005,35
1000000US060377015012010,70
1000000US060377021024006,3
1000000US060377015012011,53
1000000US060377013042010,42
1000000US060377021024007,0
1000000US060377013042011,63
1000000US060377021024008,0
1000000US060377013042012,0
1000000US060377021024009,28
1000000US060377013042013,213
1000000US060377013042014,0
1000000US060377013042015,0
1000000US060377019021000,0
1000000US060377013042016,0
1000000US060377019021001,8
1000000US060377013042017,0
1000000US060377019021002,0
1000000US060377013042018,0
1000000US060377019021003,0
1000000US060377013042019,0
1000000US060377019021004,192
1000000US060377019021005,88
1000000US060377019021006,31
1000000US060377019021007,6
1000000US060377019021008,0
1000000US060377019021009,6
1000000US060377022015000,86
1000000US060377021024010,217
1000000US060377022015001,28
1000000US060377021024011,89
1000000US060377022015002,36
1000000US060377021024012,0
1000000US060377022015003,35
1000000US060377021024013,20
1000000US060377022015004,29
1000000US060377021024014,1
1000000US060377022015005,36
1000000US060377021024015,4
1000000US060377022015006,39
1000000US060377013042020,0
1000000US060377022015007,136
1000000US060377013042021,0
1000000US060377022015008,91
1000000US060377013042022,0
1000000US060377022015009,69
1000000US060377013042023,43
1000000US060377013042024,0
1000000US060377013042025,0
1000000US060377019021010,7
1000000US060377013042026,0
1000000US060377019021011,0
1000000US060377019021012,3
1000000US060377019021013,2
1000000US060377019021014,0
1000000US060377019021015,1
1000000US060377019021016,4
1000000US060377019021017,0
1000000US060377019021018,0
1000000US060377019021019,0
1000000US060377022015010,36
1000000US060377022015011,8
1000000US060377022015012,29
1000000US060377022015013,25
1000000US060377022015014,0
1000000US060377022015015,0
1000000US060377019021020,0
1000000US060377019021021,70
1000000US060377019021022,272
1000000US060377019021023,189
1000000US060377019021024,71
1000000US060377019021025,9
1000000US060377019021026,51
1000000US060377019021027,182
1000000US060377019021028,319
1000000US060377019021029,180
1000000US060377020023000,239
1000000US060377020023001,154
1000000US060377020023002,55
1000000US060377020023003,94
1000000US060377020023004,150
1000000US060377020023005,96
1000000US060377020023006,35
1000000US060377020023007,67
1000000US060377020023008,71
1000000US060377020023009,81
1000000US060377019021030,1
1000000US060377019021031,2
1000000US060377019021032,250
1000000US060377019021033,58
1000000US060377019021034,74
1000000US060377019021035,182
1000000US060377019021036,0
1000000US060377020023010,102
1000000US060377020023011,296
1000000US060377020023012,53
1000000US060377014023000,83
1000000US060377014023001,183
1000000US060377014023002,132
1000000US060377014023003,231
1000000US060377014023004,171
1000000US060377014023005,208
1000000US060377014023006,0
1000000US060377014023007,0
1000000US060377014023008,0
1000000US060377014023009,0
1000000US060377014023010,0
1000000US060377014023011,0
1000000US060377013044000,40
1000000US060377014023012,210
1000000US060377013044001,45
1000000US060377014023013,47
1000000US060377013044002,36
1000000US060377014023014,159
1000000US060377013044003,47
1000000US060377014023015,171
1000000US060377013044004,42
1000000US060377014023016,82
1000000US060377013044005,33
1000000US060377013044006,37
1000000US060377013044007,35
1000000US060377013044008,44
1000000US060377013044009,141
1000000US060377021026000,0
1000000US060377021026001,38
1000000US060377021026002,37
1000000US060377021026003,38
1000000US060377021026004,65
1000000US060377021026005,80
1000000US060377021026006,62
1000000US060377013044010,0
1000000US060377021026007,39
1000000US060377013044011,34
1000000US060377021026008,16
1000000US060377013044012,38
1000000US060377021026009,243
1000000US060377013044013,32
1000000US060377013044014,37
1000000US060377013044015,66
1000000US060377019023000,0
1000000US060377013044016,101
1000000US060377019023001,256
1000000US060377013044017,0
1000000US060377019023002,0
1000000US060377019023003,7
1000000US060377019023004,1
1000000US060377019023005,0
1000000US060377019023006,1
1000000US060377019023007,31
1000000US060377019023008,0
1000000US060377019023009,16
1000000US060377021026010,67
1000000US060377021026011,45
1000000US060377013022000,82
1000000US060377013022001,117
1000000US060377013022002,190
1000000US060377013022003,114
1000000US060377019023010,3
1000000US060377013022004,112
1000000US060377019023011,0
1000000US060377013022005,133
1000000US060377019023012,0
1000000US060377013022006,129
1000000US060377019023013,0
1000000US060377013022007,150
1000000US060377019023014,0
1000000US060377013022008,171
1000000US060377019023015,3
1000000US060377013022009,140
1000000US060377019023016,30
1000000US060377019023017,0
1000000US060377019023018,0
1000000US060377019023019,0
1000000US060377013022010,154
1000000US060377013022011,171
1000000US060377013022012,200
1000000US060377013022013,181
1000000US060377019023020,0
1000000US060377013022014,80
1000000US060377019023021,3
1000000US060377013022015,134
1000000US060377019023022,0
