WKT	OBJECTID	Enabled	Subtype	COMPKEY	WATER_	ANGLE	ValveCompkey	HydrantID	ValveID	Group_	Sequence	COMPTYPE
"POINT (-118.49730661285476 34.009519476518875)"	1276		0	45593	28733	180.02928161	4664	1371	3-17			12
"POINT (-118.49911840721518 34.008052348728967)"	1277		0	45594	28734	180.08856201	4665	1372	3-19			12
"POINT (-118.48362092368176 34.011288909555567)"	1278		0	45624	28739	82.21259307	4697	1402	4-38			12
"POINT (-118.49017313784525 34.013845023290486)"	1279		0	44739	28741	87.48399353	1339	100	4-8			12
"POINT (-118.47109447572194 34.015691324208994)"	1280		1	99881	28743	90	1	SMC6	 			12
"POINT (-118.46970792918623 34.017504420393145)"	1281		1	99876	28744	90	1	SMC1	 			12
"POINT (-118.47049201208056 34.017000361428778)"	1282		1	99877	28745	90	1	SMC2	 			12
"POINT (-118.4712707956708 34.016549341454308)"	1283		1	99878	28746	90	1	SMC3	 			12
"POINT (-118.4721557664832 34.01606083762146)"	1284		1	99880	28747	90	1	SMC5	 			12
"POINT (-118.47215402999194 34.016782462228285)"	1285		1	99879	28748	90	1	SMC4	 			12
"POINT (-118.46920729304415 34.02631289882595)"	1286		0	45734	28784	0.03334792	4807	1512	17-136			12
"POINT (-118.49536375631062 34.016472916514594)"	1287		0	45912	28855	270.54287719	5156	1716	3-132			12
"POINT (-118.49599720151127 34.017013978846386)"	1288		0	45888	28856	269.9767456	5054	1670	3-133			12
"POINT (-118.49822188669251 34.018920598960143)"	1289		0	45886	28857	268.57772827	5050	1668	2-163			12
"POINT (-118.51602798923156 34.026233002071677)"	1290		0	45449	28897	283.27148437	4513	1227	1-1			12
"POINT (-118.44508084271526 34.016466683298823)"	1291		0	45835	28939	257.20617675	4908	1613	24-9			12
"POINT (-118.44584636237309 34.016046129310766)"	1292		0	45834	28943	167.24096679	4907	1612	24-10			12
"POINT (-118.46397772827164 34.030056214279448)"	1293		0	45338	28956	339.56988525	3835	991	23-56			12
"POINT (-118.47491987146661 34.01974902992756)"	1294		0	45134	29001	179.97480773	2963	683	14-128			12
"POINT (-118.47620928754273 34.020604982349226)"	1295		0	45135	29010	270.01416015	2964	684	14-89			12
"POINT (-118.47392089178129 34.018647068121425)"	1296		0	45880	29014	269.78253173	4953	1658	14-162			12
"POINT (-118.48574584555769 34.026549185758206)"	1297		0	98001	29020	90	98000	428	12-78			12
"POINT (-118.49552689177634 34.016028342036158)"	1298		0	45566	29030	0	4633	1344	3-111			12
"POINT (-118.49381926438464 34.035571352203064)"	1299		0	45071	29037	0.77766495	2727	586	11-179			12
"POINT (-118.48583266594758 34.00546202102344)"	1300		0	44752	29040	176.44184875	1404	130	4-174			12
"POINT (-118.47513427809341 34.02429381300233)"	1301		0	45116	29059	180	2878	651	14-7			12
"POINT (-118.47598399509455 34.023732619663676)"	1302		0	45118	29062	90	2880	653	14-9			12
"POINT (-118.48804030301815 34.005196573970217)"	1303		0	44686	29099	175.6075592	1072	23	4-222			12
"POINT (-118.50480182787496 34.018619514613931)"	1304		0	45516	29147	271.82061767	4582	1294	2-9			12
"POINT (-118.50238935631056 34.018619646817534)"	1305		0	45521	29148	269.69329834	4587	1299	2-39			12
